brand,size,hifi,class
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
honda,small,no,coup
mitsubishi,small,yes,coup
toyota,small,yes,coup
toyota,large,no,coup
benz,small,yes,coup
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
honda,small,no,coup
benz,large,no,suv
ford,large,no,suv
toyota,large,no,suv
mitsubishi,medium,no,suv
ford,large,no,suv



mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
mitsubishi,medium,no,suv
toyota,small,yes,coup
toyota,large,no,coup
toyota,large,no,suv
benz,small,yes,coup
benz,large,no,suv
bmw,small,yes,coup
bmw,medium,yes,coup
ford,small,yes,coup
ford,large,no,suv
honda,small,no,coup
mitsubishi,small,yes,coup
